filename	video_id	emotion	emotion_id	intensity_level	mode
A101_gra_p_4	A101	gratitude	7	4	p
A101_gra_v_1	A101	gratitude	7	1	v
A101_gra_v_2	A101	gratitude	7	2	v
A101_gra_v_3	A101	gratitude	7	3	v
A101_gra_v_4	A101	gratitude	7	4	v
A101_int_p_1	A101	interest_curiosity	29	1	p
A101_int_p_2	A101	interest_curiosity	29	2	p
A101_int_p_3	A101	interest_curiosity	29	3	p
A101_int_p_4	A101	interest_curiosity	29	4	p
A101_int_v_1	A101	interest_curiosity	29	1	v
A101_int_v_2	A101	interest_curiosity	29	2	v
A101_int_v_3	A101	interest_curiosity	29	3	v
A101_int_v_4	A101	interest_curiosity	29	4	v
A102_bor_p_1	A102	boredom	26	1	p
A102_bor_p_2	A102	boredom	26	2	p
A102_bor_p_3	A102	boredom	26	3	p
A102_bor_p_4	A102	boredom	26	4	p
A102_bor_v_1	A102	boredom	26	1	v
A102_bor_v_2	A102	boredom	26	2	v
A102_bor_v_3	A102	boredom	26	3	v
A102_bor_v_4	A102	boredom	26	4	v
A102_conc_p_1	A102	concentration	27	1	p
A102_conc_p_2	A102	concentration	27	2	p
A102_conc_p_4	A102	concentration	27	4	p
A102_conc_v_1	A102	concentration	27	1	v
A102_conc_v_2	A102	concentration	27	2	v
A102_conc_v_3	A102	concentration	27	3	v
A102_conc_v_4	A102	concentration	27	4	v
A102_conf_p_1	A102	confusion	1	1	p
A102_conf_p_2	A102	confusion	1	2	p
A102_conf_p_3	A102	confusion	1	3	p
A102_conf_p_4	A102	confusion	1	4	p
A102_conf_v_1	A102	confusion	1	1	v
A102_conf_v_2	A102	confusion	1	2	v
A102_conf_v_3	A102	confusion	1	3	v
A102_conf_v_4	A102	confusion	1	4	v
A102_det_p_1	A102	determination	2	1	p
A102_det_p_2	A102	determination	2	2	p
A102_det_p_3	A102	determination	2	3	p
A102_det_p_4	A102	determination	2	4	p
A102_det_v_1	A102	determination	2	1	v
A102_det_v_2	A102	determination	2	2	v
A102_det_v_3	A102	determination	2	3	v
A102_det_v_4	A102	determination	2	4	v
A102_disa_p_1	A102	disappointment	37	1	p
A102_disa_p_2	A102	disappointment	37	2	p
A102_disa_p_3	A102	disappointment	37	3	p
A102_disa_p_4	A102	disappointment	37	4	p
A102_disa_v_1	A102	disappointment	37	1	v
A102_disa_v_2	A102	disappointment	37	2	v
A102_disa_v_3	A102	disappointment	37	3	v
A102_disa_v_4	A102	disappointment	37	4	v
A102_dou_p_1	A102	doubt	3	1	p
A102_dou_p_2	A102	doubt	3	2	p
A102_dou_p_3	A102	doubt	3	3	p
A102_dou_p_4	A102	doubt	3	4	p
A102_dou_v_1	A102	doubt	3	1	v
A102_dou_v_2	A102	doubt	3	2	v
A102_dou_v_3	A102	doubt	3	3	v
A102_dou_v_4	A102	doubt	3	4	v
A102_gra_p_1	A102	gratitude	7	1	p
A102_gra_p_2	A102	gratitude	7	2	p
A102_gra_p_4	A102	gratitude	7	4	p
A102_gra_v_1	A102	gratitude	7	1	v
A102_gra_v_2	A102	gratitude	7	2	v
A102_gra_v_4	A102	gratitude	7	4	v
A102_int_p_1	A102	interest_curiosity	29	1	p
A102_int_p_2	A102	interest_curiosity	29	2	p
A102_int_p_3	A102	interest_curiosity	29	3	p
A102_int_p_4	A102	interest_curiosity	29	4	p
A102_int_v_1	A102	interest_curiosity	29	1	v
A102_int_v_2	A102	interest_curiosity	29	2	v
A102_int_v_3	A102	interest_curiosity	29	3	v
A102_int_v_4	A102	interest_curiosity	29	4	v
A103_bor_p_1	A103	boredom	26	1	p
A103_bor_p_2	A103	boredom	26	2	p
A103_bor_p_3	A103	boredom	26	3	p
A103_bor_p_4	A103	boredom	26	4	p
A103_bor_v_1	A103	boredom	26	1	v
A103_bor_v_2	A103	boredom	26	2	v
A103_bor_v_3	A103	boredom	26	3	v
A103_bor_v_4	A103	boredom	26	4	v
A103_conc_p_1	A103	concentration	27	1	p
A103_conc_p_2	A103	concentration	27	2	p
A103_conc_p_3	A103	concentration	27	3	p
A103_conc_p_4	A103	concentration	27	4	p
A103_conc_v_1	A103	concentration	27	1	v
A103_conc_v_2	A103	concentration	27	2	v
A103_conc_v_3	A103	concentration	27	3	v
A103_conc_v_4	A103	concentration	27	4	v
A103_conf_p_1	A103	confusion	1	1	p
A103_conf_p_2	A103	confusion	1	2	p
A103_conf_p_3	A103	confusion	1	3	p
A103_conf_p_4	A103	confusion	1	4	p
A103_conf_v_1	A103	confusion	1	1	v
A103_conf_v_2	A103	confusion	1	2	v
A103_conf_v_3	A103	confusion	1	3	v
A103_conf_v_4	A103	confusion	1	4	v
A103_det_p_1	A103	determination	2	1	p
A103_det_p_2	A103	determination	2	2	p
A103_det_p_3	A103	determination	2	3	p
A103_det_p_4	A103	determination	2	4	p
A103_det_v_1	A103	determination	2	1	v
A103_det_v_2	A103	determination	2	2	v
A103_det_v_3	A103	determination	2	3	v
A103_det_v_4	A103	determination	2	4	v
A103_disa_p_1	A103	disappointment	37	1	p
A103_disa_p_2	A103	disappointment	37	2	p
A103_disa_p_3	A103	disappointment	37	3	p
A103_disa_p_4	A103	disappointment	37	4	p
A103_disa_v_1	A103	disappointment	37	1	v
A103_disa_v_2	A103	disappointment	37	2	v
A103_disa_v_3	A103	disappointment	37	3	v
A103_disa_v_4	A103	disappointment	37	4	v
A103_dou_p_1	A103	doubt	3	1	p
A103_dou_p_2	A103	doubt	3	2	p
A103_dou_p_3	A103	doubt	3	3	p
A103_dou_p_4	A103	doubt	3	4	p
A103_dou_v_1	A103	doubt	3	1	v
A103_dou_v_2	A103	doubt	3	2	v
A103_dou_v_3	A103	doubt	3	3	v
A103_dou_v_4	A103	doubt	3	4	v
A103_gra_p_1	A103	gratitude	7	1	p
A103_gra_p_2	A103	gratitude	7	2	p
A103_gra_p_3	A103	gratitude	7	3	p
A103_gra_p_4	A103	gratitude	7	4	p
A103_gra_v_1	A103	gratitude	7	1	v
A103_gra_v_2	A103	gratitude	7	2	v
A103_gra_v_3	A103	gratitude	7	3	v
A103_gra_v_4	A103	gratitude	7	4	v
A103_int_p_1	A103	interest_curiosity	29	1	p
A103_int_p_2	A103	interest_curiosity	29	2	p
A103_int_p_3	A103	interest_curiosity	29	3	p
A103_int_p_4	A103	interest_curiosity	29	4	p
A103_int_v_1	A103	interest_curiosity	29	1	v
A103_int_v_2	A103	interest_curiosity	29	2	v
A103_int_v_3	A103	interest_curiosity	29	3	v
A103_int_v_4	A103	interest_curiosity	29	4	v
A18_bor_p_1	A18	boredom	26	1	p
A18_bor_p_2	A18	boredom	26	2	p
A18_bor_p_3	A18	boredom	26	3	p
A18_bor_p_4	A18	boredom	26	4	p
A18_bor_v_1	A18	boredom	26	1	v
A18_bor_v_2	A18	boredom	26	2	v
A18_bor_v_3	A18	boredom	26	3	v
A18_bor_v_4	A18	boredom	26	4	v
A18_conc_p_1	A18	concentration	27	1	p
A18_conc_p_2	A18	concentration	27	2	p
A18_conc_p_3	A18	concentration	27	3	p
A18_conc_p_4	A18	concentration	27	4	p
A18_conc_v_1	A18	concentration	27	1	v
A18_conc_v_2	A18	concentration	27	2	v
A18_conc_v_3	A18	concentration	27	3	v
A18_conc_v_4	A18	concentration	27	4	v
A18_conf_p_1	A18	confusion	1	1	p
A18_conf_p_2	A18	confusion	1	2	p
A18_conf_p_3	A18	confusion	1	3	p
A18_conf_p_4	A18	confusion	1	4	p
A18_conf_v_1	A18	confusion	1	1	v
A18_conf_v_2	A18	confusion	1	2	v
A18_conf_v_3	A18	confusion	1	3	v
A18_conf_v_4	A18	confusion	1	4	v
A18_det_p_1	A18	determination	2	1	p
A18_det_p_2	A18	determination	2	2	p
A18_det_p_3	A18	determination	2	3	p
A18_det_p_4	A18	determination	2	4	p
A18_det_v_1	A18	determination	2	1	v
A18_det_v_2	A18	determination	2	2	v
A18_det_v_3	A18	determination	2	3	v
A18_det_v_4	A18	determination	2	4	v
A18_disa_p_1	A18	disappointment	37	1	p
A18_disa_p_2	A18	disappointment	37	2	p
A18_disa_p_3	A18	disappointment	37	3	p
A18_disa_p_4	A18	disappointment	37	4	p
A18_disa_v_1	A18	disappointment	37	1	v
A18_disa_v_2	A18	disappointment	37	2	v
A18_disa_v_3	A18	disappointment	37	3	v
A18_disa_v_4	A18	disappointment	37	4	v
A18_dou_p_1	A18	doubt	3	1	p
A18_dou_p_2	A18	doubt	3	2	p
A18_dou_p_3	A18	doubt	3	3	p
A18_dou_p_4	A18	doubt	3	4	p
A18_dou_v_1	A18	doubt	3	1	v
A18_dou_v_2	A18	doubt	3	2	v
A18_dou_v_3	A18	doubt	3	3	v
A18_dou_v_4	A18	doubt	3	4	v
A18_gra_p_1	A18	gratitude	7	1	p
A18_gra_p_2	A18	gratitude	7	2	p
A18_gra_p_3	A18	gratitude	7	3	p
A18_gra_p_4	A18	gratitude	7	4	p
A18_gra_v_1	A18	gratitude	7	1	v
A18_gra_v_2	A18	gratitude	7	2	v
A18_gra_v_3	A18	gratitude	7	3	v
A18_gra_v_4	A18	gratitude	7	4	v
A18_int_p_1	A18	interest_curiosity	29	1	p
A18_int_p_2	A18	interest_curiosity	29	2	p
A18_int_p_3	A18	interest_curiosity	29	3	p
A18_int_p_4	A18	interest_curiosity	29	4	p
A18_int_v_1	A18	interest_curiosity	29	1	v
A18_int_v_2	A18	interest_curiosity	29	2	v
A18_int_v_3	A18	interest_curiosity	29	3	v
A18_int_v_4	A18	interest_curiosity	29	4	v
A200_bor_p_1	A200	boredom	26	1	p
A200_bor_p_2	A200	boredom	26	2	p
A200_bor_p_3	A200	boredom	26	3	p
A200_bor_p_4	A200	boredom	26	4	p
A200_bor_v_1	A200	boredom	26	1	v
A200_bor_v_2	A200	boredom	26	2	v
A200_bor_v_3	A200	boredom	26	3	v
A200_bor_v_4	A200	boredom	26	4	v
A200_conc_p_1	A200	concentration	27	1	p
A200_conc_p_2	A200	concentration	27	2	p
A200_conc_p_3	A200	concentration	27	3	p
A200_conc_p_4	A200	concentration	27	4	p
A200_conc_v_1	A200	concentration	27	1	v
A200_conc_v_2	A200	concentration	27	2	v
A200_conc_v_3	A200	concentration	27	3	v
A200_conc_v_4	A200	concentration	27	4	v
A200_conf_p_1	A200	confusion	1	1	p
A200_conf_p_2	A200	confusion	1	2	p
A200_conf_p_3	A200	confusion	1	3	p
A200_conf_p_4_e	A200	confusion	1	4	p
A200_conf_v_1	A200	confusion	1	1	v
A200_conf_v_2	A200	confusion	1	2	v
A200_conf_v_3	A200	confusion	1	3	v
A200_conf_v_4	A200	confusion	1	4	v
A200_det_p_1	A200	determination	2	1	p
A200_det_p_2	A200	determination	2	2	p
A200_det_p_3	A200	determination	2	3	p
A200_det_p_4	A200	determination	2	4	p
A200_det_v_1	A200	determination	2	1	v
A200_det_v_2	A200	determination	2	2	v
A200_det_v_3	A200	determination	2	3	v
A200_det_v_4	A200	determination	2	4	v
A200_disa_p_1	A200	disappointment	37	1	p
A200_disa_p_2	A200	disappointment	37	2	p
A200_disa_p_3	A200	disappointment	37	3	p
A200_disa_p_4	A200	disappointment	37	4	p
A200_disa_v_1	A200	disappointment	37	1	v
A200_disa_v_2	A200	disappointment	37	2	v
A200_disa_v_3	A200	disappointment	37	3	v
A200_disa_v_4	A200	disappointment	37	4	v
A200_dou_p_1	A200	doubt	3	1	p
A200_dou_p_2	A200	doubt	3	2	p
A200_dou_p_3	A200	doubt	3	3	p
A200_dou_p_4_e	A200	doubt	3	4	p
A200_dou_v_1	A200	doubt	3	1	v
A200_dou_v_2	A200	doubt	3	2	v
A200_dou_v_3	A200	doubt	3	3	v
A200_dou_v_4	A200	doubt	3	4	v
A200_gra_p_1	A200	gratitude	7	1	p
A200_gra_p_2	A200	gratitude	7	2	p
A200_gra_p_3	A200	gratitude	7	3	p
A200_gra_p_4	A200	gratitude	7	4	p
A200_gra_v_1_e	A200	gratitude	7	1	v
A200_gra_v_2_e	A200	gratitude	7	2	v
A200_gra_v_3_e	A200	gratitude	7	3	v
A200_gra_v_4_e	A200	gratitude	7	4	v
A200_int_p_1	A200	interest_curiosity	29	1	p
A200_int_p_2	A200	interest_curiosity	29	2	p
A200_int_p_3	A200	interest_curiosity	29	3	p
A200_int_p_4	A200	interest_curiosity	29	4	p
A200_int_v_1	A200	interest_curiosity	29	1	v
A200_int_v_4	A200	interest_curiosity	29	4	v
A201_bor_p_1	A201	boredom	26	1	p
A201_bor_p_2	A201	boredom	26	2	p
A201_bor_p_3	A201	boredom	26	3	p
A201_bor_p_4	A201	boredom	26	4	p
A201_bor_v_1	A201	boredom	26	1	v
A201_bor_v_2	A201	boredom	26	2	v
A201_bor_v_3	A201	boredom	26	3	v
A201_bor_v_4	A201	boredom	26	4	v
A201_conc_p_1	A201	concentration	27	1	p
A201_conc_p_2	A201	concentration	27	2	p
A201_conc_p_3	A201	concentration	27	3	p
A201_conc_p_4	A201	concentration	27	4	p
A201_conc_v_1	A201	concentration	27	1	v
A201_conc_v_2	A201	concentration	27	2	v
A201_conc_v_3	A201	concentration	27	3	v
A201_conc_v_4	A201	concentration	27	4	v
A201_conf_p_1	A201	confusion	1	1	p
A201_conf_p_2	A201	confusion	1	2	p
A201_conf_p_3	A201	confusion	1	3	p
A201_conf_p_4	A201	confusion	1	4	p
A201_conf_v_1	A201	confusion	1	1	v
A201_conf_v_2	A201	confusion	1	2	v
A201_conf_v_3	A201	confusion	1	3	v
A201_conf_v_4	A201	confusion	1	4	v
A201_det_p_1	A201	determination	2	1	p
A201_det_p_2	A201	determination	2	2	p
A201_det_p_3	A201	determination	2	3	p
A201_det_p_4	A201	determination	2	4	p
A201_det_v_1	A201	determination	2	1	v
A201_det_v_2	A201	determination	2	2	v
A201_det_v_3	A201	determination	2	3	v
A201_det_v_4	A201	determination	2	4	v
A201_disa_p_1	A201	disappointment	37	1	p
A201_disa_p_2	A201	disappointment	37	2	p
A201_disa_p_3	A201	disappointment	37	3	p
A201_disa_p_4	A201	disappointment	37	4	p
A201_disa_v_1	A201	disappointment	37	1	v
A201_disa_v_2	A201	disappointment	37	2	v
A201_disa_v_3	A201	disappointment	37	3	v
A201_disa_v_4	A201	disappointment	37	4	v
A201_dou_p_1	A201	doubt	3	1	p
A201_dou_p_2	A201	doubt	3	2	p
A201_dou_p_3	A201	doubt	3	3	p
A201_dou_p_4	A201	doubt	3	4	p
A201_dou_v_1	A201	doubt	3	1	v
A201_dou_v_2	A201	doubt	3	2	v
A201_dou_v_3	A201	doubt	3	3	v
A201_dou_v_4	A201	doubt	3	4	v
A201_gra_p_1	A201	gratitude	7	1	p
A201_gra_p_2	A201	gratitude	7	2	p
A201_gra_p_3	A201	gratitude	7	3	p
A201_gra_p_4	A201	gratitude	7	4	p
A201_gra_v_1	A201	gratitude	7	1	v
A201_gra_v_2	A201	gratitude	7	2	v
A201_gra_v_3	A201	gratitude	7	3	v
A201_gra_v_4	A201	gratitude	7	4	v
A201_int_p_1	A201	interest_curiosity	29	1	p
A201_int_p_2	A201	interest_curiosity	29	2	p
A201_int_p_3	A201	interest_curiosity	29	3	p
A201_int_p_4	A201	interest_curiosity	29	4	p
A201_int_v_1	A201	interest_curiosity	29	1	v
A201_int_v_2	A201	interest_curiosity	29	2	v
A201_int_v_3	A201	interest_curiosity	29	3	v
A201_int_v_4	A201	interest_curiosity	29	4	v
A205_bor_p_1	A205	boredom	26	1	p
A205_bor_p_2	A205	boredom	26	2	p
A205_bor_p_3	A205	boredom	26	3	p
A205_bor_p_4	A205	boredom	26	4	p
A205_bor_v_1	A205	boredom	26	1	v
A205_bor_v_2	A205	boredom	26	2	v
A205_bor_v_3	A205	boredom	26	3	v
A205_bor_v_4	A205	boredom	26	4	v
A205_conc_p_1	A205	concentration	27	1	p
A205_conc_p_2	A205	concentration	27	2	p
A205_conc_p_3	A205	concentration	27	3	p
A205_conc_p_4	A205	concentration	27	4	p
A205_conc_v_1	A205	concentration	27	1	v
A205_conc_v_3	A205	concentration	27	3	v
A205_conc_v_4	A205	concentration	27	4	v
A205_conf_p_1	A205	confusion	1	1	p
A205_conf_p_3	A205	confusion	1	3	p
A205_conf_p_4	A205	confusion	1	4	p
A205_conf_v_1	A205	confusion	1	1	v
A205_conf_v_2	A205	confusion	1	2	v
A205_conf_v_3	A205	confusion	1	3	v
A205_conf_v_4	A205	confusion	1	4	v
A205_det_p_1	A205	determination	2	1	p
A205_det_p_2	A205	determination	2	2	p
A205_det_p_3	A205	determination	2	3	p
A205_det_p_4	A205	determination	2	4	p
A205_det_v_1	A205	determination	2	1	v
A205_det_v_2	A205	determination	2	2	v
A205_det_v_3	A205	determination	2	3	v
A205_det_v_4	A205	determination	2	4	v
A205_disa_p_1	A205	disappointment	37	1	p
A205_disa_p_2	A205	disappointment	37	2	p
A205_disa_p_3	A205	disappointment	37	3	p
A205_disa_p_4	A205	disappointment	37	4	p
A205_disa_v_1	A205	disappointment	37	1	v
A205_disa_v_2	A205	disappointment	37	2	v
A205_disa_v_3	A205	disappointment	37	3	v
A205_disa_v_4	A205	disappointment	37	4	v
A205_dou_p_1	A205	doubt	3	1	p
A205_dou_p_2	A205	doubt	3	2	p
A205_dou_p_3	A205	doubt	3	3	p
A205_dou_p_4	A205	doubt	3	4	p
A205_dou_v_1	A205	doubt	3	1	v
A205_dou_v_2	A205	doubt	3	2	v
A205_dou_v_3	A205	doubt	3	3	v
A205_dou_v_4	A205	doubt	3	4	v
A205_gra_p_1	A205	gratitude	7	1	p
A205_gra_p_2	A205	gratitude	7	2	p
A205_gra_p_3	A205	gratitude	7	3	p
A205_gra_p_4	A205	gratitude	7	4	p
A205_gra_v_1	A205	gratitude	7	1	v
A205_gra_v_2	A205	gratitude	7	2	v
A205_gra_v_3	A205	gratitude	7	3	v
A205_gra_v_4	A205	gratitude	7	4	v
A205_int_p_1	A205	interest_curiosity	29	1	p
A205_int_p_2	A205	interest_curiosity	29	2	p
A205_int_p_4	A205	interest_curiosity	29	4	p
A205_int_v_1	A205	interest_curiosity	29	1	v
A205_int_v_2	A205	interest_curiosity	29	2	v
A205_int_v_3	A205	interest_curiosity	29	3	v
A205_int_v_4	A205	interest_curiosity	29	4	v
A207_bor_p_1	A207	boredom	26	1	p
A207_bor_p_2	A207	boredom	26	2	p
A207_bor_p_3	A207	boredom	26	3	p
A207_bor_p_4	A207	boredom	26	4	p
A207_bor_v_1	A207	boredom	26	1	v
A207_bor_v_2	A207	boredom	26	2	v
A207_bor_v_4	A207	boredom	26	4	v
A207_conc_p_1	A207	concentration	27	1	p
A207_conc_p_2	A207	concentration	27	2	p
A207_conc_p_3	A207	concentration	27	3	p
A207_conc_p_4	A207	concentration	27	4	p
A207_conc_v_1	A207	concentration	27	1	v
A207_conc_v_2	A207	concentration	27	2	v
A207_conc_v_4	A207	concentration	27	4	v
A207_conf_p_1	A207	confusion	1	1	p
A207_conf_p_2	A207	confusion	1	2	p
A207_conf_p_3	A207	confusion	1	3	p
A207_conf_p_4	A207	confusion	1	4	p
A207_conf_v_1	A207	confusion	1	1	v
A207_conf_v_2	A207	confusion	1	2	v
A207_conf_v_3	A207	confusion	1	3	v
A207_conf_v_4	A207	confusion	1	4	v
A207_det_p_1	A207	determination	2	1	p
A207_det_p_2	A207	determination	2	2	p
A207_det_p_3	A207	determination	2	3	p
A207_det_p_4	A207	determination	2	4	p
A207_det_v_1	A207	determination	2	1	v
A207_det_v_2	A207	determination	2	2	v
A207_det_v_3	A207	determination	2	3	v
A207_det_v_4	A207	determination	2	4	v
A207_disa_p_1	A207	disappointment	37	1	p
A207_disa_p_2	A207	disappointment	37	2	p
A207_disa_p_3	A207	disappointment	37	3	p
A207_disa_p_4	A207	disappointment	37	4	p
A207_disa_v_1	A207	disappointment	37	1	v
A207_disa_v_3	A207	disappointment	37	3	v
A207_disa_v_4	A207	disappointment	37	4	v
A207_dou_p_1	A207	doubt	3	1	p
A207_dou_p_2	A207	doubt	3	2	p
A207_dou_p_3	A207	doubt	3	3	p
A207_dou_p_4	A207	doubt	3	4	p
A207_dou_v_1	A207	doubt	3	1	v
A207_dou_v_3	A207	doubt	3	3	v
A207_dou_v_4	A207	doubt	3	4	v
A207_gra_p_1	A207	gratitude	7	1	p
A207_gra_p_2	A207	gratitude	7	2	p
A207_gra_p_3	A207	gratitude	7	3	p
A207_gra_p_4	A207	gratitude	7	4	p
A207_gra_v_1	A207	gratitude	7	1	v
A207_gra_v_2	A207	gratitude	7	2	v
A207_gra_v_3	A207	gratitude	7	3	v
A207_gra_v_4	A207	gratitude	7	4	v
A207_int_p_1	A207	interest_curiosity	29	1	p
A207_int_p_2	A207	interest_curiosity	29	2	p
A207_int_p_3	A207	interest_curiosity	29	3	p
A207_int_p_4	A207	interest_curiosity	29	4	p
A207_int_v_1	A207	interest_curiosity	29	1	v
A207_int_v_2	A207	interest_curiosity	29	2	v
A207_int_v_3	A207	interest_curiosity	29	3	v
A207_int_v_4	A207	interest_curiosity	29	4	v
A218_bor_p_1	A218	boredom	26	1	p
A218_bor_p_2	A218	boredom	26	2	p
A218_bor_p_3	A218	boredom	26	3	p
A218_bor_p_4	A218	boredom	26	4	p
A218_bor_v_1	A218	boredom	26	1	v
A218_bor_v_2	A218	boredom	26	2	v
A218_bor_v_3	A218	boredom	26	3	v
A218_bor_v_4	A218	boredom	26	4	v
A218_conc_p_1	A218	concentration	27	1	p
A218_conc_p_2	A218	concentration	27	2	p
A218_conc_p_3	A218	concentration	27	3	p
A218_conc_p_4	A218	concentration	27	4	p
A218_conc_v_1	A218	concentration	27	1	v
A218_conc_v_2	A218	concentration	27	2	v
A218_conc_v_3	A218	concentration	27	3	v
A218_conc_v_4	A218	concentration	27	4	v
A218_conf_p_1	A218	confusion	1	1	p
A218_conf_p_2	A218	confusion	1	2	p
A218_conf_p_3	A218	confusion	1	3	p
A218_conf_p_4	A218	confusion	1	4	p
A218_conf_v_1	A218	confusion	1	1	v
A218_conf_v_2	A218	confusion	1	2	v
A218_conf_v_3	A218	confusion	1	3	v
A218_conf_v_4	A218	confusion	1	4	v
A218_det_p_1	A218	determination	2	1	p
A218_det_p_2	A218	determination	2	2	p
A218_det_p_3	A218	determination	2	3	p
A218_det_p_4	A218	determination	2	4	p
A218_det_v_1	A218	determination	2	1	v
A218_det_v_2	A218	determination	2	2	v
A218_det_v_3	A218	determination	2	3	v
A218_det_v_4	A218	determination	2	4	v
A218_disa_p_1	A218	disappointment	37	1	p
A218_disa_p_2	A218	disappointment	37	2	p
A218_disa_p_3	A218	disappointment	37	3	p
A218_disa_p_4	A218	disappointment	37	4	p
A218_disa_v_1	A218	disappointment	37	1	v
A218_disa_v_2	A218	disappointment	37	2	v
A218_disa_v_3	A218	disappointment	37	3	v
A218_disa_v_4	A218	disappointment	37	4	v
A218_dou_p_1	A218	doubt	3	1	p
A218_dou_p_2	A218	doubt	3	2	p
A218_dou_p_3	A218	doubt	3	3	p
A218_dou_p_4	A218	doubt	3	4	p
A218_dou_v_1	A218	doubt	3	1	v
A218_dou_v_2	A218	doubt	3	2	v
A218_dou_v_3	A218	doubt	3	3	v
A218_dou_v_4	A218	doubt	3	4	v
A218_gra_p_1	A218	gratitude	7	1	p
A218_gra_p_2	A218	gratitude	7	2	p
A218_gra_p_3	A218	gratitude	7	3	p
A218_gra_p_4	A218	gratitude	7	4	p
A218_gra_v_1	A218	gratitude	7	1	v
A218_gra_v_2	A218	gratitude	7	2	v
A218_gra_v_3	A218	gratitude	7	3	v
A218_gra_v_4	A218	gratitude	7	4	v
A218_int_p_1	A218	interest_curiosity	29	1	p
A218_int_p_2	A218	interest_curiosity	29	2	p
A218_int_p_3	A218	interest_curiosity	29	3	p
A218_int_p_4	A218	interest_curiosity	29	4	p
A218_int_v_1	A218	interest_curiosity	29	1	v
A218_int_v_2	A218	interest_curiosity	29	2	v
A218_int_v_3	A218	interest_curiosity	29	3	v
A218_int_v_4	A218	interest_curiosity	29	4	v
A220_bor_p_1	A220	boredom	26	1	p
A220_bor_p_2	A220	boredom	26	2	p
A220_bor_p_3	A220	boredom	26	3	p
A220_bor_p_4	A220	boredom	26	4	p
A220_bor_v_1	A220	boredom	26	1	v
A220_bor_v_2	A220	boredom	26	2	v
A220_bor_v_3	A220	boredom	26	3	v
A220_bor_v_4	A220	boredom	26	4	v
A220_conc_p_1	A220	concentration	27	1	p
A220_conc_p_2	A220	concentration	27	2	p
A220_conc_p_3	A220	concentration	27	3	p
A220_conc_p_4	A220	concentration	27	4	p
A220_conc_v_1	A220	concentration	27	1	v
A220_conc_v_2	A220	concentration	27	2	v
A220_conc_v_3	A220	concentration	27	3	v
A220_conc_v_4	A220	concentration	27	4	v
A220_conf_p_1	A220	confusion	1	1	p
A220_conf_p_2	A220	confusion	1	2	p
A220_conf_p_3	A220	confusion	1	3	p
A220_conf_p_4	A220	confusion	1	4	p
A220_conf_v_1	A220	confusion	1	1	v
A220_conf_v_3	A220	confusion	1	3	v
A220_conf_v_4	A220	confusion	1	4	v
A220_det_p_1	A220	determination	2	1	p
A220_det_p_2	A220	determination	2	2	p
A220_det_p_3	A220	determination	2	3	p
A220_det_p_4	A220	determination	2	4	p
A220_det_v_1	A220	determination	2	1	v
A220_det_v_2	A220	determination	2	2	v
A220_det_v_4	A220	determination	2	4	v
A220_disa_p_1	A220	disappointment	37	1	p
A220_disa_p_3	A220	disappointment	37	3	p
A220_disa_p_4	A220	disappointment	37	4	p
